frontal_axis_reading(g),vertical_axis_reading(g),lateral_axis_reading(g),activity
0.27203,1.0082,-0.082102,1
0.27203,1.0082,-0.082102,1
0.44791,0.91636,-0.013684,1
0.44791,0.91636,-0.013684,1
0.34238,0.96229,-0.059296,1
0.34238,0.96229,-0.059296,1
0.30721,0.99674,-0.070699,1
0.27203,0.99674,-0.093505,1
0.23685,1.0312,-0.12771,1
0.23685,1.0312,-0.12771,1
0.23685,1.0312,-0.12771,1
0.23685,1.0312,-0.12771,1
0.31893,0.99674,-0.070699,1
0.31893,0.99674,-0.070699,1
0.47136,0.92784,-0.0022806,1
0.40101,0.93932,-0.025087,1
0.40101,0.93932,-0.025087,1
0.40101,0.93932,-0.025087,1
0.40101,0.93932,-0.025087,1
0.30721,0.99674,-0.070699,1
0.30721,0.99674,-0.070699,1
0.30721,0.99674,-0.070699,1
0.41273,0.93932,-0.0022806,1
0.27203,1.0082,-0.10491,1
0.27203,1.0082,-0.10491,1
0.24858,1.0312,-0.093505,1
0.2603,1.0197,-0.10491,1
0.31893,0.99674,-0.070699,1
0.31893,0.99674,-0.070699,1
0.31893,0.99674,-0.070699,1
0.43619,0.91636,0.0091224,1
0.47136,0.92784,0.020525,1
0.2134,1.0312,-0.12771,1
0.2134,1.0312,-0.12771,1
0.2134,1.0312,-0.12771,1
0.23685,1.0197,-0.10491,1
0.23685,1.0197,-0.10491,1
0.20168,1.0312,-0.11631,1
0.50654,0.91636,0.020525,1
0.50654,0.91636,0.020525,1
0.50654,0.91636,0.020525,1
0.50654,0.91636,0.020525,1
0.42446,0.91636,-0.0022806,1
0.42446,0.91636,-0.0022806,1
0.24858,1.0082,-0.16192,1
0.34238,0.97377,-0.047893,1
0.34238,0.97377,-0.047893,1
0.30721,0.97377,-0.03649,1
0.15478,1.0197,-0.13912,1
0.15478,1.0197,-0.13912,1
0.56517,0.87042,0.11175,1
0.56517,0.87042,0.11175,1
0.56517,0.87042,0.11175,1
0.56517,0.87042,0.11175,1
0.56517,0.87042,0.11175,1
1.0694,0.29627,-0.013684,3
1.0694,0.29627,-0.013684,3
1.0694,0.29627,-0.013684,3
0.82312,-0.071196,-0.10491,3
1.0576,-0.28938,-0.03649,3
1.0576,-0.28938,-0.03649,3
1.1632,-0.27789,-0.059296,3
1.1632,-0.27789,-0.059296,3
0.9052,-0.20899,-0.15052,3
1.1397,-0.27789,-0.070699,3
0.92865,-0.19751,-0.16192,3
0.91693,-0.19751,-0.16192,3
0.91693,-0.19751,-0.16192,3
1.3156,-0.34679,-0.013684,3
0.9052,-0.19751,-0.16192,3
0.9052,-0.19751,-0.16192,3
1.2452,-0.34679,-0.025087,3
1.2452,-0.34679,-0.025087,3
0.87003,-0.19751,-0.17333,3
0.87003,-0.19751,-0.17333,3
0.9521,-0.18603,-0.15052,3
0.87003,-0.20899,-0.17333,3
0.87003,-0.20899,-0.17333,3
0.87003,-0.20899,-0.17333,3
0.89348,-0.19751,-0.16192,3
0.89348,-0.19751,-0.16192,3
1.0342,-0.20899,-0.12771,3
1.0342,-0.20899,-0.12771,3
1.0342,-0.20899,-0.12771,3
1.3156,-0.36976,-0.013684,3
0.92865,-0.18603,-0.15052,3
0.92865,-0.18603,-0.15052,3
1.0342,-0.23196,-0.11631,3
1.0342,-0.23196,-0.11631,3
1.0342,-0.23196,-0.11631,3
0.9052,-0.19751,-0.17333,3
1.1514,-0.30086,-0.047893,3
0.9052,-0.17454,-0.17333,3
1.3039,-0.33531,-0.0022806,3
1.3039,-0.33531,-0.0022806,3
0.94038,-0.18603,-0.16192,3
0.92865,-0.19751,-0.15052,3
0.92865,-0.19751,-0.15052,3
0.92865,-0.19751,-0.15052,3
1.1866,-0.30086,-0.03649,3
1.1866,-0.30086,-0.03649,3
0.94038,-0.17454,-0.15052,3
0.94038,-0.17454,-0.15052,3
1.0342,-0.20899,-0.11631,3
1.0342,-0.20899,-0.11631,3
1.0342,-0.20899,-0.11631,3
1.0342,-0.20899,-0.11631,3
0.88175,-0.17454,-0.16192,3
0.88175,-0.17454,-0.16192,3
0.88175,-0.17454,-0.16192,3
1.1983,-0.28938,-0.03649,3
1.1983,-0.28938,-0.03649,3
0.99901,-0.17454,-0.13912,3
0.99901,-0.17454,-0.13912,3
1.1045,-0.24344,-0.070699,3
0.9521,-0.17454,-0.15052,3
0.9521,-0.17454,-0.15052,3
1.1632,-0.27789,-0.059296,3
1.1632,-0.27789,-0.059296,3
1.1632,-0.27789,-0.059296,3
1.0811,-0.23196,-0.10491,3
0.96383,-0.17454,-0.16192,3
0.96383,-0.17454,-0.16192,3
0.88175,-0.17454,-0.17333,3
0.88175,-0.17454,-0.16192,3
1.0459,-0.20899,-0.11631,3
1.1983,-0.28938,-0.047893,3
0.94038,-0.17454,-0.15052,3
0.89348,-0.18603,-0.16192,3
0.89348,-0.18603,-0.16192,3
0.89348,-0.18603,-0.16192,3
0.8583,-0.18603,-0.16192,3
0.9052,-0.16306,-0.16192,3
0.96383,-0.16306,-0.15052,3
0.96383,-0.16306,-0.15052,3
0.96383,-0.16306,-0.15052,3
0.92865,-0.16306,-0.15052,3
0.92865,-0.17454,-0.16192,3
0.92865,-0.17454,-0.16192,3
1.2101,-0.28938,-0.03649,3
1.2101,-0.28938,-0.03649,3
1.2101,-0.28938,-0.03649,3
0.89348,-0.17454,-0.17333,3
0.89348,-0.17454,-0.17333,3
0.89348,-0.17454,-0.17333,3
0.9052,-0.17454,-0.16192,3
0.9052,-0.17454,-0.16192,3
0.91693,-0.18603,-0.17333,3
0.91693,-0.18603,-0.17333,3
0.91693,-0.18603,-0.17333,3
0.89348,-0.17454,-0.16192,3
0.91693,-0.17454,-0.15052,3
0.88175,-0.17454,-0.16192,3
0.88175,-0.17454,-0.16192,3
1.0107,-0.19751,-0.11631,3
